Redshift, Peak Luminosity, Isotropic Energy Catalog
        1194 Bursts
Burst #   z     L_B       E_iso
  105   1.883    89.635    45.544
  107   4.128    22.639     8.015
  108   0.555     1.088     1.203
  109   2.170    89.037   655.548
  110   2.117    11.490    32.964
  111   0.605     0.223     4.757
  114   4.396    33.527    74.204
  121   1.514    10.006    99.593
  130   1.900    48.444   340.354
  133   0.781     1.175     9.160
  142   2.669   142.274   121.204
  143   0.354    25.778    91.420
  148   2.107    18.514    22.167
  171   1.733     4.287    13.718
  179   2.358    93.064    14.331
  204   0.738     1.486     2.983
  211   1.415     2.743     7.751
  214   2.973    26.511    23.988
  219   0.986    44.694    82.778
  222   1.566    27.668    43.996
  223   3.929    26.369     8.496
  226   2.165    30.536   437.115
  228   1.845     9.932     4.011
  249   0.452    20.472    78.065
  257   3.440   149.024   888.403
  269   1.422     7.645     4.135
  288   1.435     2.664    28.532
  332   0.905     1.483     8.618
  351   1.279     6.849   147.477
  394   2.609   156.782  1100.925
  401   2.189     5.966     2.259
  404   2.194    14.747    59.255
  408   3.417    66.886   154.061
  414   2.711    24.052     9.722
  451   0.479     3.105    12.453
  469   1.135    28.543    35.771
  472   6.104    96.282   232.861
  473   0.963     1.005     2.605
  493   3.781    54.985    19.057
  501   1.268     4.661     2.691
  503   1.549   107.609    34.885
  526   2.244    13.221     7.155
  540   6.862   193.402    22.902
  543   0.703    10.063     9.955
  548   0.801     3.357    10.310
  563   0.562     1.025     5.423
  577   0.825     0.942     5.301
  591   1.428     4.390    16.443
  594   4.018   117.566   152.603
  606   1.653    12.393    21.350
  612   1.033     7.967    19.760
  630   0.626     0.337     1.210
  647   0.346     1.254     6.219
  658   0.880     1.682     6.086
  659   0.472     0.250     4.321
  660   1.338    30.596    33.750
  666   3.054    62.625     8.555
  673   0.419     0.102     0.472
  676   1.454    34.286   224.958
  678   1.563   481.485  1541.978
  680   1.471     3.498     4.412
  685   4.756   101.048    48.444
  686   1.900    12.869    19.751
  692   1.879     7.568    37.364
  711   2.160    24.484     3.159
  727   1.305     3.281     6.076
  752   1.396     5.694     3.606
  755   3.559    57.387    18.755
  761   0.918     8.469    73.752
  764   0.589     0.397     2.092
  773   1.368     2.994    12.472
  795   2.270    17.830    43.622
  803   1.613     8.282    11.293
  815   6.187    88.600   136.137
  816   1.251     1.370    12.536
  820   1.974    10.532    44.372
  824   0.339     0.107     0.737
  829   0.256     0.261     1.601
  840   1.913    30.494    37.239
  841   2.779   131.681   101.264
  845   0.945     3.655     3.148
  867   3.511   280.339   105.023
  869   2.019    79.639   183.721
  907   0.522     1.767    11.376
  914   1.209     6.553     7.489
  927   1.900     6.590     5.540
  938   3.982    61.432    63.767
  942   1.563     5.797     5.165
  946   0.844     1.420     3.075
  973   0.475     3.099    25.709
  974   0.900     1.427     2.348
